id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
128,papain,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,papain,"Sigma-Aldrich, P4762",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
129,papain,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,papain,"Sigma-Aldrich, P4762",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
130,papain,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,papain,"Sigma-Aldrich, P4762",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
131,pepsin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pepsin,"Sigma-Aldrich, P7000",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
132,pepsin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pepsin,"Sigma-Aldrich, P7000",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
133,pepsin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pepsin,"Sigma-Aldrich, P7000",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
134,pepsinogen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pepsinogen,"Sigma-Aldrich, P4656",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
135,pepsinogen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pepsinogen,"Sigma-Aldrich, P4656",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
136,pepsinogen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pepsinogen,"Sigma-Aldrich, P4656",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
137,major proteinase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,proteinase type XXIV subtilisin Carlsberg,"Sigma-Aldrich, P8038",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
138,major proteinase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,proteinase type XXIV subtilisin Carlsberg,"Sigma-Aldrich, P8038",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
139,major proteinase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,proteinase type XXIV subtilisin Carlsberg,"Sigma-Aldrich, P8038",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
140,superoxide dismutases,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"superoxide dismutase (Cu, Zn)","Sigma-Aldrich, S7571",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
141,superoxide dismutases,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"superoxide dismutase (Cu, Zn)","Sigma-Aldrich, S7571",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
142,superoxide dismutases,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"superoxide dismutase (Cu, Zn)","Sigma-Aldrich, S7571",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
143,trypsinogen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsinogen,"Sigma-Aldrich, T1143",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
